country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,"10,00",7.58,44.9,"1.610,00",9.44,56.2,5.82,"553,00"
Albania,16.6,"28,00",6.55,48.6,"9.930,00",4.49,76.3,1.65,"4.090,00"
Algeria,27.3,38.4,4.17,31.4,"12.900,00",16.1,76.5,2.89,"4.460,00"
Angola,"119,00",62.3,2.85,42.9,"5.900,00",22.4,60.1,6.16,"3.530,00"
Antigua and Barbuda,10.3,45.5,6.03,58.9,"19.100,00",1.44,76.8,2.13,"12.200,00"
Argentina,14.5,18.9,8.1,"16,00","18.700,00",20.9,75.8,2.37,"10.300,00"
Armenia,18.1,20.8,4.4,45.3,"6.700,00",7.77,73.3,1.69,"3.220,00"
Australia,4.8,19.8,8.73,20.9,"41.400,00",1.16,"82,00",1.93,"51.900,00"
Austria,4.3,51.3,"11,00",47.8,"43.200,00","873,00",80.5,1.44,"46.900,00"
Azerbaijan,39.2,54.3,5.88,20.7,"16.000,00",13.8,69.1,1.92,"5.840,00"
Bahamas,13.8,"35,00",7.89,43.7,"22.900,00","-393,00",73.8,1.86,"28.000,00"
Bahrain,8.6,69.5,4.97,50.9,"41.100,00",7.44,"76,00",2.16,"20.700,00"
Bangladesh,49.4,"16,00",3.52,21.8,"2.440,00",7.14,70.4,2.33,"758,00"
Barbados,14.2,39.5,7.97,48.7,"15.300,00","321,00",76.7,1.78,"16.000,00"
Belarus,5.5,51.4,5.61,64.5,"16.200,00",15.1,70.4,1.49,"6.030,00"
Belgium,4.5,76.4,10.7,74.7,"41.100,00",1.88,"80,00",1.86,"44.400,00"
Belize,18.8,58.2,5.2,57.5,"7.880,00",1.14,71.4,2.71,"4.340,00"
Benin,"111,00",23.8,4.1,37.2,"1.820,00","885,00",61.8,5.36,"758,00"
Bhutan,42.7,42.5,5.2,70.7,"6.420,00",5.99,72.1,2.38,"2.180,00"
Bolivia,46.6,41.2,4.84,34.3,"5.410,00",8.78,71.6,3.2,"1.980,00"
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,"9.720,00",1.4,76.8,1.31,"4.610,00"
Botswana,52.5,43.6,8.3,51.3,"13.300,00",8.92,57.1,2.88,"6.350,00"
Brazil,19.8,10.7,9.01,11.8,"14.500,00",8.41,74.2,1.8,"11.200,00"
Brunei,10.5,67.4,2.84,"28,00","80.600,00",16.7,77.1,1.84,"35.300,00"
Bulgaria,10.8,50.2,6.87,"53,00","15.300,00",1.11,73.9,1.57,"6.840,00"
Burkina Faso,"116,00",19.2,6.74,29.6,"1.430,00",6.81,57.9,5.87,"575,00"
Burundi,93.6,8.92,11.6,39.2,"764,00",12.3,57.7,6.26,"231,00"
Cambodia,44.4,54.1,5.68,59.5,"2.520,00",3.12,66.1,2.88,"786,00"
Cameroon,"108,00",22.2,5.13,"27,00","2.660,00",1.91,57.3,5.11,"1.310,00"
Canada,5.6,29.1,11.3,"31,00","40.700,00",2.87,81.3,1.63,"47.400,00"
Cape Verde,26.5,32.7,4.09,61.8,"5.830,00","505,00",72.5,2.67,"3.310,00"
Central African Republic,"149,00",11.8,3.98,26.5,"888,00",2.01,47.5,5.21,"446,00"
Chad,"150,00",36.8,4.53,43.5,"1.930,00",6.39,56.5,6.59,"897,00"
Chile,8.7,37.7,7.96,31.3,"19.400,00",8.96,79.1,1.88,"12.900,00"
China,15.7,26.3,5.07,22.6,"9.530,00",6.94,74.6,1.59,"4.560,00"
Colombia,18.6,15.9,7.59,17.8,"10.900,00",3.86,76.4,2.01,"6.250,00"
Comoros,88.2,16.5,4.51,51.7,"1.410,00",3.87,65.9,4.75,"769,00"
"Congo, Dem. Rep.","116,00",41.1,7.91,49.6,"609,00",20.8,57.5,6.54,"334,00"
"Congo, Rep.",63.9,85.1,2.46,54.7,"5.190,00",20.7,60.4,4.95,"2.740,00"
Costa Rica,10.2,33.2,10.9,"35,00","13.000,00",6.57,80.4,1.92,"8.200,00"
Cote d'Ivoire,"111,00",50.6,5.3,43.3,"2.690,00",5.39,56.3,5.27,"1.220,00"
Croatia,5.5,37.6,7.76,38.1,"20.100,00","821,00",76.3,1.55,"13.500,00"
Cyprus,3.6,50.2,5.97,57.5,"33.900,00",2.01,79.9,1.42,"30.800,00"
Czech Republic,3.4,"66,00",7.88,62.9,"28.300,00",-1.43,77.5,1.51,"19.800,00"
Denmark,4.1,50.5,11.4,43.6,"44.000,00",3.22,79.5,1.87,"58.000,00"
Dominican Republic,34.4,22.7,6.22,33.3,"11.100,00",5.44,74.6,2.6,"5.450,00"
Ecuador,25.1,27.9,8.06,32.4,"9.350,00",7.47,76.7,2.66,"4.660,00"
Egypt,29.1,21.3,4.66,26.6,"9.860,00",10.1,70.5,3.19,"2.600,00"
El Salvador,19.2,26.9,6.91,46.6,"7.300,00",2.65,74.1,2.27,"2.990,00"
Equatorial Guinea,"111,00",85.8,4.48,58.9,"33.700,00",24.9,60.9,5.21,"17.100,00"
Eritrea,55.2,4.79,2.66,23.3,"1.420,00",11.6,61.7,4.61,"482,00"
Estonia,4.5,75.1,6.03,68.7,"22.700,00",1.74,"76,00",1.72,"14.600,00"
Fiji,24.1,57.8,4.86,63.9,"7.350,00",4.23,65.3,2.67,"3.650,00"
Finland,"3,00",38.7,8.95,37.4,"39.800,00","351,00","80,00",1.87,"46.200,00"
France,4.2,26.8,11.9,28.1,"36.900,00",1.05,81.4,2.03,"40.600,00"
Gabon,63.7,57.7,3.5,18.9,"15.400,00",16.6,62.9,4.08,"8.750,00"
Gambia,80.3,23.8,5.69,42.7,"1.660,00",4.3,65.5,5.71,"562,00"
Georgia,16.5,"35,00",10.1,52.8,"6.730,00",8.55,72.8,1.92,"2.960,00"
Germany,4.2,42.3,11.6,37.1,"40.400,00","758,00",80.1,1.39,"41.800,00"
Ghana,74.7,29.5,5.22,45.9,"3.060,00",16.6,62.2,4.27,"1.310,00"
